match_id,patch,team_a_1,team_a_2,team_a_3,team_a_4,team_a_5,team_b_1,team_b_2,team_b_3,team_b_4,team_b_5,team_a_win
NA1_5508105844,16.5,Alistar,Ezreal,Kayle,Yasuo,Zyra,Bard,Caitlyn,Darius,Naafiri,Shaco,0
NA1_5508600807,16.5,Camille,Leona,Naafiri,Samira,Zed,Ekko,Ezreal,Karma,Malphite,Nunu,1
NA1_5508264788,16.5,Draven,Sion,Taliyah,Thresh,Viego,Janna,Jayce,Kaisa,Sett,Teemo,1
NA1_5509052518,16.5,Ezreal,MasterYi,Morgana,Olaf,Ryze,Kaisa,Nocturne,Nunu,Taric,Vi,0
NA1_5508732962,16.5,AurelionSol,Malphite,Nami,Nasus,TwistedFate,Camille,Jhin,LeeSin,Yone,Zyra,0
NA1_5507590048,16.5,Alistar,Caitlyn,Elise,KSante,Zed,Fiora,Katarina,Pyke,Rengar,Sivir,0
NA1_5507731063,16.5,Aphelios,Lulu,Pyke,Rammus,Renekton,Gnar,Morgana,Naafiri,Syndra,Yunara,1
NA1_5508342111,16.5,Darius,Graves,Kaisa,Nautilus,Zoe,Leona,Senna,Talon,Yasuo,Yone,1
NA1_5509728112,16.5,Aphelios,Hwei,Jax,Malphite,Senna,Ekko,Heimerdinger,Lulu,Sivir,Yone,1
NA1_5508630753,16.5,Ambessa,Lillia,Lucian,Nautilus,Xerath,Ezreal,Graves,Leona,Veigar,Zac,1
NA1_5507387088,16.5,Ekko,Nami,Nasus,Samira,Viego,Ezreal,Malphite,Sylas,Vi,Yuumi,1
NA1_5507779892,16.5,Ambessa,Kassadin,Leona,MissFortune,Zaahen,Ashe,Graves,MonkeyKing,Morgana,Zoe,1
NA1_5507302323,16.5,Cassiopeia,MissFortune,Rell,Sylas,Zed,Karma,Riven,Ryze,Taliyah,Yunara,1
NA1_5506588947,16.5,Ahri,Nasus,Shyvana,Smolder,Zilean,Nami,Swain,Syndra,Varus,Viego,1
NA1_5509535659,16.5,Ahri,Camille,Jinx,Ornn,XinZhao,Jax,Smolder,Velkoz,Viktor,Yone,0
NA1_5510280142,16.5,Ahri,Ezreal,Graves,Nami,Rumble,Fizz,Jayce,Seraphine,Swain,Viego,1
NA1_5507016068,16.5,Aphelios,Lux,Malphite,Swain,XinZhao,Jinx,Kayle,Nautilus,Nocturne,Yasuo,0
NA1_5506441977,16.5,AurelionSol,Aurora,Gnar,Graves,Thresh,Draven,Elise,MasterYi,Sion,Sylas,1
NA1_5509167023,16.5,Aurora,JarvanIV,Riven,Yunara,Zilean,Draven,Khazix,Syndra,Velkoz,Yone,1
NA1_5510041284,16.5,Belveth,Gnar,Lux,Sona,Sylas,Brand,Hecarim,Heimerdinger,Nami,Ryze,0
NA1_5508048892,16.5,Akali,JarvanIV,Naafiri,Varus,Zyra,Alistar,Aurora,Caitlyn,Viego,Zaahen,0
NA1_5508551310,16.5,Alistar,Annie,Ekko,Illaoi,Kaisa,Bard,Ezreal,Gwen,Jhin,Taliyah,1
NA1_5507678112,16.5,Ahri,Briar,Ezreal,Nautilus,Teemo,Annie,JarvanIV,Jinx,Lux,Thresh,1
NA1_5510507697,16.5,Caitlyn,Graves,Katarina,Singed,Swain,Chogath,Naafiri,Orianna,Smolder,XinZhao,0
NA1_5507388195,16.5,Akali,Irelia,Nami,Samira,Udyr,Anivia,Graves,Kaisa,Sion,Zed,1
NA1_5506112205,16.5,Aatrox,Annie,Ekko,Nunu,Senna,Ambessa,Camille,Ezreal,Mordekaiser,Sylas,0
NA1_5509153630,16.5,Brand,Ezreal,Lux,Viego,Zaahen,Katarina,Milio,Neeko,Sivir,Yone,0
NA1_5508439664,16.5,Ahri,Amumu,Brand,MissFortune,Varus,DrMundo,Fizz,Nami,Sion,Vayne,0
NA1_5505818652,16.5,Ambessa,Corki,Soraka,Sylas,Zac,Elise,Jhin,KSante,Leblanc,Nunu,1
NA1_5507275075,16.5,Corki,Hecarim,Lissandra,Nami,Vayne,Gragas,Jax,Rakan,Ryze,Smolder,1
NA1_5510138162,16.5,Gangplank,Janna,Jhin,Kennen,Rengar,Rakan,Rumble,Senna,TwistedFate,Viego,0
NA1_5510517819,16.5,Corki,JarvanIV,Kayle,Pyke,Riven,Janna,Kennen,Smolder,Viego,Zed,0
NA1_5506426829,16.5,Ashe,Bard,Chogath,Kennen,Shen,Jinx,Qiyana,Teemo,Thresh,Yone,1
NA1_5506805747,16.5,Ambessa,Nami,Orianna,Smolder,Yone,Aurora,Hecarim,Milio,Mordekaiser,Vayne,0
NA1_5508820367,16.5,Ashe,Karma,Kindred,Ornn,Syndra,Ekko,Kaisa,Malzahar,Milio,Viego,1
NA1_5508344219,16.5,Ashe,Kennen,Khazix,Seraphine,Zac,Fizz,Jhin,Naafiri,Nautilus,Volibear,1
NA1_5509832755,16.5,Akali,Ezreal,Gangplank,Rell,Zaahen,Ashe,Gnar,Graves,Seraphine,Ziggs,0
NA1_5507812596,16.5,Ahri,DrMundo,Hecarim,Pyke,Samira,Brand,Briar,Leona,Qiyana,Vladimir,0
NA1_5509630123,16.5,Aatrox,FiddleSticks,Lux,Naafiri,Smolder,Fizz,Jayce,Mel,Nasus,Nautilus,0
NA1_5508683436,16.5,Ahri,FiddleSticks,LeeSin,Nasus,Sivir,Graves,KSante,Lux,Senna,Zed,0
NA1_5509845787,16.5,Alistar,Gragas,Jinx,Viego,Yasuo,Braum,Jhin,Nunu,Sylas,Yone,0
NA1_5510342778,16.5,Caitlyn,DrMundo,Rell,Vi,Xerath,Jhin,Karma,Sylas,Talon,Zaahen,1
NA1_5509264571,16.5,Ashe,KSante,Ryze,Seraphine,Talon,Blitzcrank,Fizz,Qiyana,Zaahen,Zeri,1
NA1_5507052093,16.5,Aatrox,Ahri,Malphite,Morgana,Xayah,KogMaw,LeeSin,Pantheon,Thresh,Viktor,0
NA1_5510238613,16.5,Bard,Ekko,Ezreal,Orianna,Yone,Cassiopeia,Lulu,Rengar,Riven,Yunara,1
NA1_5509223667,16.5,Aphelios,Blitzcrank,Gwen,Leblanc,Zeri,Aurora,Hecarim,Senna,Sion,Xayah,0
NA1_5510758552,16.5,Alistar,JarvanIV,MissFortune,Quinn,TwistedFate,Diana,Jinx,Nami,Sylas,Veigar,0
NA1_5506170811,16.5,Ahri,Jinx,MasterYi,Neeko,Talon,Aurora,Elise,Karma,Nasus,Yasuo,0
NA1_5510141553,16.5,Camille,Karma,MasterYi,Vayne,Velkoz,Fiora,Mel,MissFortune,Nami,Shen,0
NA1_5509964098,16.5,Akali,Gnar,Lulu,Rengar,Yunara,Corki,Malphite,Poppy,Talon,Zoe,0
NA1_5508729511,16.5,Annie,Kayn,Lucian,Yuumi,Zaahen,Jhin,Khazix,Lux,Nautilus,Volibear,1
NA1_5510587123,16.5,Ambessa,Hecarim,Jinx,Kayle,Sona,Aphelios,Ekko,Qiyana,Rakan,Vladimir,0
NA1_5508416674,16.5,Gangplank,Jinx,Leona,Ryze,Talon,Jax,Karthus,Mel,Neeko,Yone,0
