match_id,patch,blue_top,blue_jg,blue_mid,blue_adc,blue_sup,red_top,red_jg,red_mid,red_adc,red_sup,blue_top_wr,blue_jg_wr,blue_mid_wr,blue_adc_wr,blue_sup_wr,red_top_wr,red_jg_wr,red_mid_wr,red_adc_wr,red_sup_wr,blue_top_games,blue_jg_games,blue_mid_games,blue_adc_games,blue_sup_games,red_top_games,red_jg_games,red_mid_games,red_adc_games,red_sup_games,blue_avg_wr,red_avg_wr,avg_wr_diff,blue_win
NA1_5513130878,16.5,Shen,LeeSin,Naafiri,Lux,Blitzcrank,Mordekaiser,Ambessa,Orianna,Ashe,Braum,0.46859903381642515,0.6818181818181818,0.5278810408921933,0.5136054421768708,0.5029585798816568,0.53125,0.47619047619047616,0.6086956521739131,0.5052631578947369,0.5490196078431373,207,44,269,294,338,96,21,23,95,102,0.5389724557170655,0.5340837788204527,0.004888676896612876,1
NA1_5513107151,16.5,Zaahen,Evelynn,Ahri,Ezreal,Blitzcrank,Renekton,Nidalee,Zeri,Ashe,Seraphine,0.46859903381642515,0.5462184873949579,0.4606741573033708,0.5083612040133779,0.5415472779369628,0.5277777777777778,0.5339805825242718,0.4980392156862745,0.5341614906832298,0.4980544747081712,207,238,178,598,349,108,103,255,161,257,0.5050800320930189,0.518402708275945,-0.013322676182926152,0
NA1_5513051767,16.5,Zaahen,MonkeyKing,Galio,Ezreal,Karma,Renekton,Graves,Sion,Brand,Xerath,0.46859903381642515,0.5365853658536586,0.47619047619047616,0.48559077809798273,0.5068870523415978,0.5571428571428572,0.4782608695652174,0.6026490066225165,0.5480769230769231,0.5317919075144508,207,164,399,694,363,70,115,151,104,173,0.4947705412600281,0.543584312784393,-0.04881377152436489,0
NA1_5513040927,16.5,Olaf,Sejuani,Malzahar,Ezreal,Karma,Tryndamere,Shaco,Ahri,Katarina,Braum,0.46859903381642515,0.4844961240310077,0.5061728395061729,0.48559077809798273,0.5102040816326531,0.5925925925925926,0.5343811394891945,0.6036585365853658,0.5051020408163265,0.515,207,258,405,694,49,27,509,164,196,200,0.49101257141684834,0.5501468618966958,-0.05913429047984747,0
NA1_5512709050,16.5,Urgot,RekSai,Ekko,Lucian,Nami,Kennen,Graves,Hwei,Tristana,Amumu,0.46859903381642515,0.5475113122171946,0.5057660626029654,0.5233644859813084,0.5,0.48125,0.5294117647058824,0.4563106796116505,0.4838709677419355,0.5308641975308642,207,221,607,107,214,160,493,103,62,162,0.5090481789235788,0.4963415219180665,0.012706657005512267,1
NA1_5512596859,16.5,Jayce,Khazix,Katarina,Vayne,Rakan,Sion,Taliyah,Diana,Ashe,Anivia,0.4925373134328358,0.5358361774744027,0.48945147679324896,0.5111111111111111,0.4855769230769231,0.46859903381642515,0.5363128491620112,0.5016835016835017,0.5379746835443038,0.5373134328358209,67,293,237,405,208,207,179,297,158,268,0.5029026003777044,0.5163767002084125,-0.01347409983070813,0
NA1_5512564510,16.5,Gnar,Rengar,Xerath,MissFortune,Pyke,Aatrox,XinZhao,Viktor,Kaisa,Blitzcrank,0.46859903381642515,0.5625,0.5316742081447964,0.5945945945945946,0.4897959183673469,0.5,0.66,0.5844594594594594,0.5178571428571429,0.48514851485148514,207,144,442,74,588,326,50,296,112,101,0.5294327509846326,0.5494930234336175,-0.020060272448984895,1
NA1_5512404931,16.5,Zaahen,Vi,Leblanc,Vayne,Alistar,Urgot,MonkeyKing,Galio,Ashe,Braum,0.5681818181818182,0.49414519906323184,0.5275590551181102,0.4944237918215613,0.6818181818181818,0.46859903381642515,0.49117647058823527,0.5918367346938775,0.5238095238095238,0.5353535353535354,220,427,127,269,44,207,340,49,357,198,0.5532256092005807,0.5221550596523195,0.031070549548261273,0
NA1_5512386231,16.5,Ornn,Ambessa,Talon,Velkoz,Nautilus,Sett,XinZhao,Akali,Vayne,Thresh,0.46859903381642515,0.49117647058823527,0.6481481481481481,0.5275590551181102,0.4583333333333333,0.5942028985507246,0.57,0.5405405405405406,0.5066666666666667,0.5108695652173914,207,340,54,127,168,69,100,37,300,184,0.5187632082008504,0.5444559341950647,-0.02569272599421424,0
NA1_5512377888,16.5,Olaf,Zaahen,Zoe,Caitlyn,Alistar,Fiora,Sylas,Talon,Velkoz,Elise,0.46859903381642515,0.49117647058823527,0.5172413793103449,0.5581395348837209,0.4857142857142857,0.5294117647058824,0.5,0.6481481481481481,0.5275590551181102,0.5631578947368421,207,340,145,86,70,493,32,54,127,190,0.5041741408626024,0.5536553725417965,-0.04948123167919416,0
